Datafile FullScanSumBP FullScanMaxBP ZoomScanSumBP ZoomScanMaxBP SumTIC MaxTIC
040.428.428.3.dta 1182203 1182203 0 0 1111625 1111625
040.430.430.2.dta 1830954 1830954 0 0 2274128 2274128
040.430.430.3.dta 1830954 1830954 0 0 2274128 2274128
040.431.431.2.dta 1693531 1693531 0 0 3719575 3719575
040.431.431.3.dta 1693531 1693531 0 0 3719575 3719575
040.432.432.2.dta 1546452 1546452 0 0 146844 146844
040.432.432.3.dta 1546452 1546452 0 0 146844 146844
040.434.434.2.dta 1676678 1676678 0 0 807144 807144
040.434.434.3.dta 1676678 1676678 0 0 807144 807144
040.435.435.1.dta 1483106 1483106 0 0 187648 187648
040.436.436.2.dta 1427129 1427129 0 0 243265 243265
040.436.436.3.dta 1427129 1427129 0 0 243265 243265
040.438.438.2.dta 2388702 2388702 0 0 5029178 5029178
040.438.438.3.dta 2388702 2388702 0 0 5029178 5029178
040.439.439.2.dta 1675627 1675627 0 0 1077793 1077793
040.439.439.3.dta 1675627 1675627 0 0 1077793 1077793
040.440.440.2.dta 1372582 1372582 0 0 963725 963725
040.440.440.3.dta 1372582 1372582 0 0 963725 963725
040.442.442.2.dta 1552578 1552578 0 0 3854274 3854274
040.442.442.3.dta 1552578 1552578 0 0 3854274 3854274
040.443.443.1.dta 1344571 1344571 0 0 149203 149203
040.444.444.1.dta 1195571 1195571 0 0 250408 250408
040.446.446.1.dta 1779975 1779975 0 0 362964 362964
040.447.447.2.dta 1560027 1560027 0 0 3658626 3658626
040.447.447.3.dta 1560027 1560027 0 0 3658626 3658626
040.448.448.2.dta 1383588 1383588 0 0 138216 138216
040.448.448.3.dta 1383588 1383588 0 0 138216 138216
040.450.450.1.dta 2039940 2039940 0 0 8358938 8358938
040.451.451.2.dta 1780016 1780016 0 0 2963610 2963610
040.451.451.3.dta 1780016 1780016 0 0 2963610 2963610
040.452.452.1.dta 1768415 1768415 0 0 81381 81381
040.454.454.2.dta 1456283 1456283 0 0 138769 138769
040.454.454.3.dta 1456283 1456283 0 0 138769 138769
040.455.455.1.dta 1441813 1441813 0 0 949667 949667
040.456.456.1.dta 1397587 1397587 0 0 188025 188025
040.458.458.2.dta 1863265 1863265 0 0 186499 186499
040.458.458.3.dta 1863265 1863265 0 0 186499 186499
040.459.459.1.dta 1525384 1525384 0 0 295054 295054
040.460.460.1.dta 1287801 1287801 0 0 260867 260867
040.462.462.2.dta 3154731 3154731 0 0 4130747 4130747
040.462.462.3.dta 3154731 3154731 0 0 4130747 4130747
040.463.463.2.dta 2168373 2168373 0 0 3180180 3180180
040.463.463.3.dta 2168373 2168373 0 0 3180180 3180180
040.464.464.2.dta 1951657 1951657 0 0 892064 892064
040.464.464.3.dta 1951657 1951657 0 0 892064 892064
040.466.466.2.dta 1250624 1250624 0 0 1232823 1232823
040.466.466.3.dta 1250624 1250624 0 0 1232823 1232823
040.467.467.1.dta 1233933 1233933 0 0 250658 250658
040.468.468.2.dta 1191176 1191176 0 0 458793 458793
040.468.468.3.dta 1191176 1191176 0 0 458793 458793
040.470.470.1.dta 2588161 2588161 0 0 196794 196794
040.471.471.2.dta 1991684 1991684 0 0 196516 196516
040.471.471.3.dta 1991684 1991684 0 0 196516 196516
040.472.472.1.dta 1715995 1715995 0 0 550670 550670
040.474.474.2.dta 2049182 2049182 0 0 1150126 1150126
040.474.474.3.dta 2049182 2049182 0 0 1150126 1150126
040.475.475.2.dta 1996761 1996761 0 0 105850 105850
040.475.475.3.dta 1996761 1996761 0 0 105850 105850
040.476.476.2.dta 1696873 1696873 0 0 3123502 3123502
040.476.476.3.dta 1696873 1696873 0 0 3123502 3123502
040.478.478.2.dta 1891732 1891732 0 0 6758910 6758910
040.478.478.3.dta 1891732 1891732 0 0 6758910 6758910
040.479.479.1.dta 1599754 1599754 0 0 1406590 1406590
040.480.480.2.dta 1506588 1506588 0 0 2118374 2118374
040.480.480.3.dta 1506588 1506588 0 0 2118374 2118374
040.482.482.2.dta 3987040 3987040 0 0 6511306 6511306
040.482.482.3.dta 3987040 3987040 0 0 6511306 6511306
040.483.483.2.dta 2130305 2130305 0 0 220830 220830
040.483.483.3.dta 2130305 2130305 0 0 220830 220830
040.484.486.2.dta 4628683 2885761 0 0 8017200 4265588
040.484.486.3.dta 4628683 2885761 0 0 8017200 4265588
040.487.487.1.dta 2394685 2394685 0 0 318777 318777
040.488.488.2.dta 2086557 2086557 0 0 3678285 3678285
040.488.488.3.dta 2086557 2086557 0 0 3678285 3678285
040.490.490.2.dta 1904445 1904445 0 0 1061775 1061775
040.490.490.3.dta 1904445 1904445 0 0 1061775 1061775
040.491.491.2.dta 1864724 1864724 0 0 3218481 3218481
040.491.491.3.dta 1864724 1864724 0 0 3218481 3218481
040.492.492.2.dta 1365978 1365978 0 0 325431 325431
040.492.492.3.dta 1365978 1365978 0 0 325431 325431
040.494.494.2.dta 1524770 1524770 0 0 125414 125414
040.494.494.3.dta 1524770 1524770 0 0 125414 125414
040.495.495.2.dta 1431963 1431963 0 0 279276 279276
040.495.495.3.dta 1431963 1431963 0 0 279276 279276
040.496.496.2.dta 1221468 1221468 0 0 2718934 2718934
040.496.496.3.dta 1221468 1221468 0 0 2718934 2718934
