
SEQUEST v.28 (rev. 12), (c) 1998-2007
Molecular Biotechnology, Univ. of Washington, J.Eng/S.Morgan/J.Yates
Licensed to Thermo Fisher Scientific Inc.

In memory indexing of the database took 0.3 seconds

Search run on = TESLA
Params file = C:\Xcalibur\sequest\john\opd1_2runs_2mods\ecoli.params
Peptide tol = 0.0000, fragment tol = 1.0000, AVG/AVG
Ion series = nABY ABCDVWXYZ: 0 1 1 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0
Display top = 10/5, ion % = 0.0, CODE = 101050
Protein database (in-memory indexed) = C:\Xcalibur\database\ecoli_K12_ncbi_20060321.fasta
(M* +15.99940) (STY# +79.97990)  Enzyme:Trypsin(KR/P) (2)
Searched dta file  for scan(s) 270 - 270 @ z=1
Searched dta file  for scan(s) 271 - 271 @ z=1
Searched dta file  for scan(s) 272 - 272 @ z=2
Searched dta file  for scan(s) 272 - 272 @ z=3
Searched dta file  for scan(s) 274 - 274 @ z=1
Searched dta file  for scan(s) 275 - 275 @ z=1
Searched dta file  for scan(s) 276 - 276 @ z=1
Searched dta file  for scan(s) 278 - 278 @ z=2
Searched dta file  for scan(s) 278 - 278 @ z=3
Searched dta file  for scan(s) 279 - 279 @ z=2
Searched dta file  for scan(s) 279 - 279 @ z=3
Searched dta file  for scan(s) 280 - 280 @ z=2
Searched dta file  for scan(s) 280 - 280 @ z=3
Searched dta file  for scan(s) 282 - 282 @ z=1
Searched dta file  for scan(s) 283 - 283 @ z=1
Searched dta file  for scan(s) 284 - 284 @ z=2
Searched dta file  for scan(s) 284 - 284 @ z=3
Searched dta file  for scan(s) 286 - 286 @ z=1
Searched dta file  for scan(s) 287 - 287 @ z=2
Searched dta file  for scan(s) 287 - 287 @ z=3
Searched dta file  for scan(s) 288 - 288 @ z=2
Searched dta file  for scan(s) 288 - 288 @ z=3
Searched dta file  for scan(s) 290 - 290 @ z=2
Searched dta file  for scan(s) 290 - 290 @ z=3
Searched dta file  for scan(s) 291 - 291 @ z=2
Searched dta file  for scan(s) 291 - 291 @ z=3
Searched dta file  for scan(s) 292 - 292 @ z=1
Searched dta file  for scan(s) 294 - 294 @ z=1
Searched dta file  for scan(s) 295 - 295 @ z=2
Searched dta file  for scan(s) 295 - 295 @ z=3
Searched dta file  for scan(s) 296 - 296 @ z=2
Searched dta file  for scan(s) 296 - 296 @ z=3
Searched dta file  for scan(s) 298 - 298 @ z=1
Searched dta file  for scan(s) 299 - 299 @ z=2
Searched dta file  for scan(s) 299 - 299 @ z=3
Searched dta file  for scan(s) 300 - 300 @ z=2
Searched dta file  for scan(s) 300 - 300 @ z=3
Searched dta file  for scan(s) 302 - 302 @ z=2
Searched dta file  for scan(s) 302 - 302 @ z=3
Searched dta file  for scan(s) 304 - 304 @ z=1
Searched dta file  for scan(s) 307 - 307 @ z=1
Searched dta file  for scan(s) 308 - 308 @ z=2
Searched dta file  for scan(s) 308 - 308 @ z=3
Searched dta file  for scan(s) 310 - 310 @ z=1
Searched dta file  for scan(s) 311 - 311 @ z=1
Searched dta file  for scan(s) 312 - 312 @ z=2
Searched dta file  for scan(s) 312 - 312 @ z=3
Searched dta file  for scan(s) 314 - 314 @ z=2
Searched dta file  for scan(s) 314 - 314 @ z=3
Searched dta file  for scan(s) 316 - 316 @ z=2
Searched dta file  for scan(s) 316 - 316 @ z=3
Searched dta file  for scan(s) 318 - 318 @ z=1
Searched dta file  for scan(s) 319 - 319 @ z=1
Searched dta file  for scan(s) 320 - 320 @ z=2
Searched dta file  for scan(s) 320 - 320 @ z=3
Searched dta file  for scan(s) 322 - 322 @ z=1
Searched dta file  for scan(s) 323 - 323 @ z=1
Searched dta file  for scan(s) 324 - 324 @ z=2
Searched dta file  for scan(s) 324 - 324 @ z=3
Searched dta file  for scan(s) 326 - 326 @ z=2
Searched dta file  for scan(s) 326 - 326 @ z=3
Searched dta file  for scan(s) 327 - 327 @ z=1
Searched dta file  for scan(s) 328 - 328 @ z=2
Searched dta file  for scan(s) 328 - 328 @ z=3
Searched dta file  for scan(s) 331 - 331 @ z=2
Searched dta file  for scan(s) 331 - 331 @ z=3
Searched dta file  for scan(s) 332 - 332 @ z=1
Searched dta file  for scan(s) 334 - 334 @ z=2
Searched dta file  for scan(s) 334 - 334 @ z=3
Searched dta file  for scan(s) 335 - 335 @ z=1
Searched dta file  for scan(s) 336 - 336 @ z=1
Searched dta file  for scan(s) 339 - 339 @ z=2
Searched dta file  for scan(s) 339 - 339 @ z=3
Searched dta file  for scan(s) 340 - 340 @ z=2
Searched dta file  for scan(s) 340 - 340 @ z=3
Searched dta file  for scan(s) 342 - 342 @ z=1
Searched dta file  for scan(s) 343 - 343 @ z=2
Searched dta file  for scan(s) 343 - 343 @ z=3
Searched dta file  for scan(s) 346 - 346 @ z=1
Searched dta file  for scan(s) 347 - 347 @ z=2
Searched dta file  for scan(s) 347 - 347 @ z=3
Searched dta file  for scan(s) 348 - 348 @ z=2
Searched dta file  for scan(s) 348 - 348 @ z=3
Searched dta file  for scan(s) 350 - 350 @ z=2
Searched dta file  for scan(s) 350 - 350 @ z=3
Searched dta file  for scan(s) 351 - 351 @ z=1
Searched dta file  for scan(s) 352 - 352 @ z=1
Searched dta file  for scan(s) 354 - 354 @ z=2
Searched dta file  for scan(s) 354 - 354 @ z=3
Searched dta file  for scan(s) 355 - 355 @ z=1
Searched dta file  for scan(s) 356 - 356 @ z=2
Searched dta file  for scan(s) 356 - 356 @ z=3
Searched dta file  for scan(s) 358 - 358 @ z=1
Searched dta file  for scan(s) 359 - 359 @ z=1
Searched dta file  for scan(s) 360 - 360 @ z=2
Searched dta file  for scan(s) 360 - 360 @ z=3
Searched dta file  for scan(s) 363 - 363 @ z=1
Searched dta file  for scan(s) 364 - 364 @ z=1
Searched dta file  for scan(s) 366 - 366 @ z=2
Searched dta file  for scan(s) 366 - 366 @ z=3
Searched dta file  for scan(s) 367 - 367 @ z=1
Searched dta file  for scan(s) 368 - 368 @ z=2
Searched dta file  for scan(s) 368 - 368 @ z=3
Searched dta file  for scan(s) 371 - 371 @ z=2
Searched dta file  for scan(s) 371 - 371 @ z=3
Searched dta file  for scan(s) 372 - 372 @ z=1
Searched dta file  for scan(s) 374 - 374 @ z=1
Searched dta file  for scan(s) 375 - 375 @ z=1
Searched dta file  for scan(s) 376 - 376 @ z=2
Searched dta file  for scan(s) 376 - 376 @ z=3
Searched dta file  for scan(s) 378 - 378 @ z=1
Searched dta file  for scan(s) 379 - 379 @ z=1
Searched dta file  for scan(s) 380 - 380 @ z=2
Searched dta file  for scan(s) 380 - 380 @ z=3
Searched dta file  for scan(s) 382 - 382 @ z=2
Searched dta file  for scan(s) 382 - 382 @ z=3
Searched dta file  for scan(s) 383 - 383 @ z=1
Searched dta file  for scan(s) 384 - 384 @ z=2
Searched dta file  for scan(s) 384 - 384 @ z=3
Searched dta file  for scan(s) 386 - 386 @ z=1
Searched dta file  for scan(s) 387 - 387 @ z=1
Searched dta file  for scan(s) 388 - 388 @ z=2
Searched dta file  for scan(s) 388 - 388 @ z=3
Searched dta file  for scan(s) 391 - 391 @ z=2
Searched dta file  for scan(s) 391 - 391 @ z=3
Searched dta file  for scan(s) 392 - 392 @ z=2
Searched dta file  for scan(s) 392 - 392 @ z=3
Searched dta file  for scan(s) 394 - 394 @ z=1
Searched dta file  for scan(s) 395 - 395 @ z=1
Searched dta file  for scan(s) 396 - 396 @ z=2
Searched dta file  for scan(s) 396 - 396 @ z=3
Searched dta file  for scan(s) 398 - 398 @ z=2
Searched dta file  for scan(s) 398 - 398 @ z=3
Searched dta file  for scan(s) 399 - 399 @ z=1
Searched dta file  for scan(s) 400 - 400 @ z=2
Searched dta file  for scan(s) 400 - 400 @ z=3
Searched dta file  for scan(s) 402 - 402 @ z=2
Searched dta file  for scan(s) 402 - 402 @ z=3
Searched dta file  for scan(s) 403 - 403 @ z=2
Searched dta file  for scan(s) 403 - 403 @ z=3
Searched dta file  for scan(s) 404 - 404 @ z=2
Searched dta file  for scan(s) 404 - 404 @ z=3
Searched dta file  for scan(s) 406 - 406 @ z=2
Searched dta file  for scan(s) 406 - 406 @ z=3
Searched dta file  for scan(s) 407 - 407 @ z=2
Searched dta file  for scan(s) 407 - 407 @ z=3
Searched dta file  for scan(s) 408 - 408 @ z=1
Searched dta file  for scan(s) 410 - 410 @ z=1
Searched dta file  for scan(s) 411 - 411 @ z=2
Searched dta file  for scan(s) 411 - 411 @ z=3
Searched dta file  for scan(s) 412 - 412 @ z=2
Searched dta file  for scan(s) 412 - 412 @ z=3
Searched dta file  for scan(s) 414 - 414 @ z=1
Searched dta file  for scan(s) 415 - 415 @ z=2
Searched dta file  for scan(s) 415 - 415 @ z=3
Searched dta file  for scan(s) 416 - 416 @ z=1
Searched dta file  for scan(s) 418 - 418 @ z=1
Searched dta file  for scan(s) 419 - 419 @ z=2
Searched dta file  for scan(s) 419 - 419 @ z=3
Searched dta file  for scan(s) 420 - 420 @ z=2
Searched dta file  for scan(s) 420 - 420 @ z=3
Searched dta file  for scan(s) 422 - 422 @ z=2
Searched dta file  for scan(s) 422 - 422 @ z=3
Searched dta file  for scan(s) 423 - 423 @ z=2
Searched dta file  for scan(s) 423 - 423 @ z=3
Searched dta file  for scan(s) 424 - 424 @ z=2
Searched dta file  for scan(s) 424 - 424 @ z=3
Searched dta file  for scan(s) 426 - 426 @ z=2
Searched dta file  for scan(s) 426 - 426 @ z=3
Searched dta file  for scan(s) 427 - 427 @ z=2
Searched dta file  for scan(s) 427 - 427 @ z=3
Searched dta file  for scan(s) 428 - 428 @ z=2
Searched dta file  for scan(s) 428 - 428 @ z=3
Searched dta file  for scan(s) 430 - 430 @ z=2
Searched dta file  for scan(s) 430 - 430 @ z=3
Searched dta file  for scan(s) 431 - 431 @ z=2
Searched dta file  for scan(s) 431 - 431 @ z=3
Searched dta file  for scan(s) 432 - 432 @ z=2
Searched dta file  for scan(s) 432 - 432 @ z=3
Searched dta file  for scan(s) 434 - 434 @ z=2
Searched dta file  for scan(s) 434 - 434 @ z=3
Searched dta file  for scan(s) 435 - 435 @ z=1
Searched dta file  for scan(s) 436 - 436 @ z=2
Searched dta file  for scan(s) 436 - 436 @ z=3
Searched dta file  for scan(s) 438 - 438 @ z=2
Searched dta file  for scan(s) 438 - 438 @ z=3
Searched dta file  for scan(s) 439 - 439 @ z=2
Searched dta file  for scan(s) 439 - 439 @ z=3
Searched dta file  for scan(s) 440 - 440 @ z=2
Searched dta file  for scan(s) 440 - 440 @ z=3
Searched dta file  for scan(s) 442 - 442 @ z=2
Searched dta file  for scan(s) 442 - 442 @ z=3
Searched dta file  for scan(s) 443 - 443 @ z=1
Searched dta file  for scan(s) 444 - 444 @ z=1
Searched dta file  for scan(s) 446 - 446 @ z=1
Searched dta file  for scan(s) 447 - 447 @ z=2
Searched dta file  for scan(s) 447 - 447 @ z=3
Searched dta file  for scan(s) 448 - 448 @ z=2
Searched dta file  for scan(s) 448 - 448 @ z=3
Searched dta file  for scan(s) 450 - 450 @ z=1
Searched dta file  for scan(s) 451 - 451 @ z=2
Searched dta file  for scan(s) 451 - 451 @ z=3
Searched dta file  for scan(s) 452 - 452 @ z=1
Searched dta file  for scan(s) 454 - 454 @ z=2
Searched dta file  for scan(s) 454 - 454 @ z=3
Searched dta file  for scan(s) 455 - 455 @ z=1
Searched dta file  for scan(s) 456 - 456 @ z=1
Searched dta file  for scan(s) 458 - 458 @ z=2
Searched dta file  for scan(s) 458 - 458 @ z=3
Searched dta file  for scan(s) 459 - 459 @ z=1
Searched dta file  for scan(s) 460 - 460 @ z=1
Searched dta file  for scan(s) 462 - 462 @ z=2
Searched dta file  for scan(s) 462 - 462 @ z=3
Searched dta file  for scan(s) 463 - 463 @ z=2
Searched dta file  for scan(s) 463 - 463 @ z=3
